Model,TDP
AMD EPYC 7643,225.0
AMD EPYC 7642,225.0
AMD EPYC 7552,200.0
AMD EPYC 7663,240.0
AMD Ryzen Threadripper PRO 3995WX,280.0
AMD Ryzen Threadripper 3990X,280.0
AMD EPYC 7763,280.0
AMD EPYC 7713P,225.0
AMD EPYC 7713,225.0
AMD EPYC 7H12,280.0
AMD EPYC 7742,225.0
AMD EPYC 7702,200.0
AMD EPYC 7702P,200.0
AMD EPYC 7662,225.0
Intel Xeon 1.4,56
Intel Xeon 1.5,59.2
Intel Xeon 1.7,65.8
Intel Xeon 2.0,77.5
Intel Xeon 1.8,55
Intel Xeon 2.0A,58
Intel Xeon 2.0B,58
Intel Xeon 2.2,61
Intel Xeon 2.4,65
Intel Xeon 2.4B,65
Intel Xeon 2.6,60
Intel Xeon 2.66,77
Intel Xeon 2.8,74
Intel Xeon 2.8B,74
Intel Xeon 3.0,85
Intel Xeon 3.06,85
Intel Xeon LV 1.6,30
Intel Xeon LV 2.0,35
Intel Xeon LV 2.4,40
Intel Xeon 2.4B,77
Intel Xeon 2.8B,77
Intel Xeon 3.06,87
Intel Xeon 3.2,92
Intel Xeon 3.2,92
Intel Xeon 2.8,103
Intel Xeon 2.8D,103
Intel Xeon 3.0,103
Intel Xeon 3.0D,103
Intel Xeon 3.2,103
Intel Xeon 3.4,103
Intel Xeon 3.6,103
Intel Xeon LV 2.8,55
Intel Xeon 2.8,110
Intel Xeon 2.8E,110
Intel Xeon 3.0,110
Intel Xeon 3.0E,110
Intel Xeon 3.2,110
Intel Xeon 3.2E,110
Intel Xeon 3.4,110
Intel Xeon 3.4E,110
Intel Xeon 3.6,110
Intel Xeon 3.6E,110
Intel Xeon 3.8,110
Intel Xeon 3.8E,110
Intel Xeon MV 3.2,90
Intel Xeon LV 3.0,55
Intel Xeon 2.8,135
Intel Xeon 5020,95
Intel Xeon 5030,95
Intel Xeon 5040,95
Intel Xeon 5050,95
Intel Xeon 5060,130
Intel Xeon 5070,130
Intel Xeon 5080,130
Intel Xeon MV 5063,95
Intel Xeon MP 1.4,64
Intel Xeon MP 1.5,68
Intel Xeon MP 1.6,72
Intel Xeon MP 1.5,48
Intel Xeon MP 1.9,55
Intel Xeon MP 2.0,57
Intel Xeon MP 2.0,57
Intel Xeon MP 2.2,65
Intel Xeon MP 2.5,66
Intel Xeon MP 2.7,80
Intel Xeon MP 2.8,72
Intel Xeon MP 3.0,85
Intel Xeon MP 3.16,110
Intel Xeon MP 3.66,110
Intel Xeon MP 2.83,129
Intel Xeon MP 3.0,129
Intel Xeon MP 3.33,129
Intel Xeon 7020,165
Intel Xeon 7030,165
Intel Xeon 7040,165
Intel Xeon 7041,165
Intel Xeon X5365,150
Intel Xeon 7110N,95
Intel Xeon 7110M,95
Intel Xeon 7120N,95
Intel Xeon 7120M,95
Intel Xeon 7130N,150
Intel Xeon 7130M,150
Intel Xeon 7140N,150
Intel Xeon 7140M,150
Intel Xeon 7150N,150
Intel Pentium II Xeon 400,30.8
Intel Pentium II Xeon 400,38.1
