Model,TDP
Intel Pentium B915C,15
Intel Pentium B925C,15
Intel Pentium N6415,6.5
Intel Pentium J6426,10
Intel Celeron 266,16.59
Intel Celeron 300,18.48
Intel Celeron 300A,17.8
Intel Celeron 333,19.7
Intel Celeron 366,21.7
Intel Celeron 400,23.7
Intel Celeron 433,24.1
Intel Celeron 466,25.7
Intel Celeron 500,27
Intel Celeron 533,28.3
Intel Celeron 533A,14
Intel Celeron 566,19.2
Intel Celeron 600,15.8
Intel Celeron 633,16.5
Intel Celeron 667,17.5
Intel Celeron 700,18.3
Intel Celeron 733,23.6
Intel Celeron 766,20
Intel Celeron 800,20.8
Intel Celeron 850,25.7
Intel Celeron 900,26.7
Intel Celeron 950,28
Intel Celeron 1.00,29
Intel Celeron 1.10,33
Intel Celeron 1000A,27.29.5
Intel Celeron 1100A,27.29.5
Intel Celeron 1200,29.32.9
Intel Celeron 1300,33.4
Intel Celeron 1400,33.34.8
Intel Celeron 1.5,60
Intel Celeron 1.7,63.5
Intel Celeron 1.8,66.1
Intel Celeron 2.0,71.2
Intel Celeron 1.8A,66.1
Intel Celeron 2.0,52.8
Intel Celeron 2.1,55.5
Intel Celeron 2.2,57.1
Intel Celeron 2.3,58.3
Intel Celeron 2.4,59.8
Intel Celeron 2.5,61.0
Intel Celeron 2.6,62.6
Intel Celeron 2.7,66.8
Intel Celeron 2.8,68.4
Intel Celeron D 310,73
Intel Celeron D 315,73
Intel Celeron D 320,73
Intel Celeron D 320,73
Intel Celeron D 325,73
Intel Celeron D 325,84
Intel Celeron D 325J,84
Intel Celeron D 326,84
Intel Celeron D 330,73
Intel Celeron D 330,73
Intel Celeron D 330J,84
Intel Celeron D 331,84
Intel Celeron D 335,73
Intel Celeron D 335,84
Intel Celeron D 335J,84
Intel Celeron D 336,84
Intel Celeron D 340,73
Intel Celeron D 340J,84
Intel Celeron D 340J,84
Intel Celeron D 341,84
Intel Celeron D 345,73
Intel Celeron D 345J,84
Intel Celeron D 346,84
Intel Celeron D 350,73
Intel Celeron D 350J,73
Intel Celeron D 351,84
Intel Celeron D 355,84
Intel Celeron D 347,65
Intel Celeron D 352,65
Intel Celeron D 356,65
Intel Celeron D 360,65
Intel Celeron D 365,65
Intel Celeron 220,19
Intel Celeron 420,35
Intel Celeron 430,35
Intel Celeron 440,35
Intel Celeron 450,35
Intel Celeron 445,65
Intel Celeron E1200,65
Intel Celeron E1400,65
Intel Celeron E1500,65
Intel Celeron E1600,65
Intel Celeron E3200,65
Intel Celeron E3300,65
Intel Celeron E3400,65
Intel Celeron E3500,65
Intel Celeron G1101,73
Intel Celeron G530,65
Intel Celeron G540,65
Intel Celeron G550,65
Intel Celeron G555,65
Intel Celeron G440,35
Intel Celeron G460,35
Intel Celeron G465,35
Intel Celeron G470,35
Intel Celeron G530T,35
Intel Celeron G540T,35
Intel Celeron G550T,35
Intel Celeron G1610,55
Intel Celeron G1620,55
Intel Celeron G1630,55
Intel Celeron G1610T,35
Intel Celeron G1620T,35
Intel Celeron J1750,10
Intel Celeron J1800,10
Intel Celeron J1850,10
Intel Celeron J1900,10
Intel Celeron J3060,6
Intel Celeron J3160,6
Intel Celeron G1820,53
Intel Celeron G1830,53
Intel Celeron G1840,53
Intel Celeron G1850,53
Intel Celeron G1820T,35
Intel Celeron G1840T,35
Intel Celeron G1820TE,35
Intel Celeron G3900,51
Intel Celeron G3920,51
Intel Celeron G3900T,35
Intel Celeron G3900E,35
Intel Celeron G3900TE,35
Intel Celeron G3902E,25
Intel Celeron J3355,10
Intel Celeron J3455,10
Intel Celeron J4005,10
Intel Celeron J4105,10
Intel Celeron J4025,10
Intel Celeron J4125,10
Intel Celeron G3930,51
Intel Celeron G3950,51
Intel Celeron G3930T,35
Intel Celeron G3930E,54
Intel Celeron G3930TE,35
Intel Celeron G4900,54
Intel Celeron G4920,54
Intel Celeron G4930,54
Intel Celeron G4950,54
Intel Celeron G4900T,35
Intel Celeron G4930T,35
Intel Celeron G4930E,35
Intel Celeron G4932E,25
Intel Celeron G5900,58
Intel Celeron G5905,58
Intel Celeron G5920,58
Intel Celeron G5925,58
Intel Celeron G5900E,58
Intel Celeron G5900T,35
Intel Celeron G5905T,35
Intel Celeron G5900TE,35
Intel Celeron N4505,10
Intel Celeron N5105,10
Intel Mobile Celeron 266,9.8
Intel Mobile Celeron 300,11.1
Intel Mobile Celeron 333,11.8
Intel Mobile Celeron 366,13.1
Intel Mobile Celeron 400,13.8
Intel Mobile Celeron 433,19.4
Intel Mobile Celeron 466,20.7
Intel Mobile Celeron LV 266,7.9
Intel Celeron M 310,24.5
Intel Celeron M 320,24.5
Intel Celeron M 330,24.5
Intel Celeron M 340,24.5
Intel Celeron M ULV 600,7
Intel Celeron M ULV 800,7
Intel Celeron M ULV 333,7
Intel Celeron M 350,21
Intel Celeron M 360,21
Intel Celeron M 370,21
Intel Celeron M 380,21
Intel Celeron M 390,21
Intel Celeron M ULV 383,5.5
Intel Celeron 205,21
Intel Celeron M ULV 353,5
Intel Celeron M ULV 373,5.5
Intel Celeron 215,27
Intel Celeron M 410,27
Intel Celeron M 420,27
Intel Celeron M 430,27
Intel Celeron M 440,27
Intel Celeron M 450,27
Intel Celeron M ULV 423,5.5
Intel Celeron M ULV 443,5.5
Intel Celeron 1.66,27
Intel Celeron 1.83,27
Intel Celeron M 520,30
Intel Celeron M 530,30
Intel Celeron 530,27
Intel Celeron 540,30
Intel Celeron 550,30
Intel Celeron 560,27
Intel Celeron 570,27
Intel Celeron 575,31
Intel Celeron 585,31
Intel Celeron M ULV 523,5.5
Intel Celeron ULV 573,10
Intel Celeron 900,35
Intel Celeron 925,35
Intel Celeron M ULV 722,5.5
Intel Celeron M ULV 723,10
Intel Celeron M ULV 743,10
Intel Celeron ULV 763,10
Intel Celeron T1400,35
Intel Celeron T1500,35
Intel Celeron T1600,35
Intel Celeron T1700,35
Intel Celeron T3000,35
Intel Celeron T3100,35
Intel Celeron T3300,35
Intel Celeron T3500,35
Intel Celeron SU2300,10
Intel Celeron P4500,35
Intel Celeron P4505,35
Intel Celeron P4600,35
Intel Celeron U3400,18
Intel Celeron U3405,18
Intel Celeron U3600,18
Intel Celeron B710,35
Intel Celeron B720,35
Intel Celeron B730,35
Intel Celeron B800,35
Intel Celeron B810,35
Intel Celeron B815,35
Intel Celeron B820,35
Intel Celeron B830,35
Intel Celeron B840,35
Intel Celeron B810E,35
Intel Celeron 787,17
Intel Celeron 797,17
Intel Celeron 807,17
Intel Celeron 847,17
Intel Celeron 857,17
Intel Celeron 867,17
Intel Celeron 877,17
Intel Celeron 887,17
Intel Celeron 827E,17
Intel Celeron 847E,17
Intel Celeron 807UE,10
Intel Celeron 1000M,35
Intel Celeron 1005M,35
Intel Celeron 1020M,35
Intel Celeron 1020E,35
Intel Celeron 1007U,17
Intel Celeron 1017U,17
Intel Celeron 1037U,17
Intel Celeron 927UE,17
Intel Celeron 1047UE,17
Intel Celeron 1019Y,10
Intel Celeron 2950M,37
Intel Celeron 2970M,37
Intel Celeron 2955U,15
Intel Celeron 2957U,15
Intel Celeron 2980U,15
Intel Celeron 2981U,15
Intel Celeron 2961Y,11.5
Intel Celeron 2000E,37
Intel Celeron 2002E,25
Intel Celeron 3205U,15
Intel Celeron 3215U,15
Intel Celeron 3755U,15
Intel Celeron 3765U,15
Intel Celeron N2805,4.3
Intel Celeron N2806,4.5
Intel Celeron N2807,4.3
Intel Celeron N2808,4.5
Intel Celeron N2810,7.5
Intel Celeron N2815,7.5
Intel Celeron N2820,7.5
Intel Celeron N2830,7.5
Intel Celeron N2840,7.5
Intel Celeron N2910,7.5
Intel Celeron N2920,7.5
Intel Celeron N2930,7.5
Intel Celeron N2940,7.5
Intel Celeron N3000,4
Intel Celeron N3010,4
Intel Celeron N3050,6
Intel Celeron N3060,6
Intel Celeron N3150,6
Intel Celeron N3160,6
Intel Celeron 3855U,15
Intel Celeron 3955U,15
Intel Celeron N3350,6
Intel Celeron N3450,6
Intel Celeron N4000,6
Intel Celeron N4100,6
Intel Celeron N4020,6
Intel Celeron N4120,6
Intel Celeron 3865U,15
Intel Celeron 3965U,15
Intel Celeron 3965Y,6
Intel Celeron 3867U,15
Intel Celeron 4205U,15
Intel Celeron 4305U,15
Intel Celeron 4305UE,15
Intel Celeron 5205U,15
Intel Celeron 5305U,15
Intel Celeron 6305,15
Intel Celeron 6305E,15
Intel Celeron N4500,6
Intel Celeron N5100,6
Intel Celeron P1053,30
Intel Celeron 725C,10
Intel Celeron N6210,6.5
Intel Celeron N6211,6.5
Intel Celeron J6412,10
Intel Celeron J6413,10
Intel Celeron 6600HE,35
Intel Core i9-11900K,125
Intel Core i9-11900KF,125
Intel Core i9-11900,65
Intel Core i9-11900F,65
Intel Core i9-11900T,35
Intel Core i7-11700K,125
Intel Core i7-11700KF,125
Intel Core i7-11700,65
Intel Core i7-11700F,65
Intel Core i7-11700T,35
Intel Core i5-11600K,125
Intel Core i5-11600KF,125
Intel Core i5-11600,65
Intel Core i5-11600T,35
Intel Core i5-11500,65
Intel Core i5-11500T,35
Intel Core i5-11400,65
Intel Core i5-11400F,65
Intel Core i5-11400T,35
Intel Core i9-10910,125
Intel Core i9-10900K,125
Intel Core i9-10900KF,125
Intel Core i9-10900,65
Intel Core i9-10900E,65
Intel Core i9-10900F,65
Intel Core i9-10900T,35
Intel Core i9-10850K,125
Intel Core i7-10700K,125
Intel Core i7-10700KF,125
Intel Core i7-10700,65
Intel Core i7-10700E,65
Intel Core i7-10700F,65
Intel Core i7-10700T,35
Intel Core i7-10700TE,35
Intel Core i5-10600K,125
Intel Core i5-10600KF,125
Intel Core i5-10600,65
Intel Core i5-10600T,35
Intel Core i5-10500,65
Intel Core i5-10500E,65
Intel Core i5-10500T,35
Intel Core i5-10500TE,35
Intel Core i5-10400,65
Intel Core i5-10400F,65
Intel Core i5-10400T,35
Intel Core i3-10320,65
Intel Core i3-10300,65
Intel Core i3-10300T,35
Intel Core i3-10100,65
Intel Core i3-10100E,65
Intel Core i3-10100F,65
Intel Core i3-10100T,35
Intel Core i3-10100TE,35
Intel Core i7-1065G7,15
Intel Core i7-1060G7,9
Intel Core i7-10750H,45
Intel Core i7-10710U,15
Intel Core i7-10610U,15
Intel Core i7-10510U,15
Intel Core i7-10510Y,7
Intel Core i5-10500H,45
Intel Core i5-10210U,15
Intel Core i9-9900KS,127
Intel Core i9-9900K,95
Intel Core i9-9900,65
Intel Core i9-9900T,35
Intel Core i7-9700K,95
Intel Core i7-9700,65
Intel Core i7-9700T,35
Intel Core i7-9700TE,35
Intel Core i5-9600K,95
Intel Core i5-9600KF,95
Intel Core i5-9600,65
Intel Core i5-9600T,35
Intel Core i5-9500,65
Intel Core i5-9500E,65
Intel Core i5-9500F,65
Intel Core i5-9500T,35
Intel Core i5-9500TE,35
Intel Core i5-9400,65
Intel Core i5-9400F,65
Intel Core i5-9400T,35
Intel Core i3-9350K,91
Intel Core i3-9350KF,91
Intel Core i3-9320,65
Intel Core i3-9300,65
Intel Core i3-9300T,35
Intel Core i3-9100,65
Intel Core i3-9100E,65
Intel Core i3-9100F,65
Intel Core i3-9100T,35
Intel Core i3-9100TE,35
Intel Core m3-8100Y,5
Intel Core i9-8950HK,45
Intel Core i7-8850H,45
Intel Core i7-8750H,45
Intel Core i7-8700B,65
Intel Core i7-8665U,15
Intel Core i7-8650U,15
Intel Core i7-8569U,28
Intel Core i7-8565U,15
Intel Core i7-8559U,28
Intel Core i7-8557U,15
Intel Core i7-8550U,15
Intel Core i7-8500Y,5
Intel Core i5-8500B,65
Intel Core i5-8400H,45
Intel Core i5-8400B,65
Intel Core i5-8365U,15
Intel Core i5-8350U,15
Intel Core i5-8310Y,7
Intel Core i5-8300H,45
Intel Core i5-8269U,28
Intel Core i5-8265U,15
Intel Core i5-8260U,15
Intel Core i5-8259U,28
Intel Core i5-8257U,15
Intel Core i5-8250U,15
Intel Core i5-8210Y,7
Intel Core i5-8200Y,5
Intel Core i3-8145U,15
Intel Core i3-8140U,15
Intel Core i3-8130U,15
Intel Core i3-8109U,28
Intel Core i3-8100H,45
Intel Core i3-8100B,65
Intel Core i9-7980XE,165
Intel Core i9-7960X,165
Intel Core i9-7940X,165
Intel Core i9-7920X,140
Intel Core i9-7900X,140
Intel Core i7-7820X,140
Intel Core i7-7800X,140
Intel Core i7-7740X,112
Intel Core i7-7700K,91
Intel Core i7-7700,65
Intel Core i7-7700T,35
Intel Core i5-7640X,112
Intel Core i5-7600K,91
Intel Core i5-7600,65
Intel Core i5-7600T,35
Intel Core i5-7500,65
Intel Core i5-7500T,35
Intel Core i5-7400,65
Intel Core i5-7400T,35
Intel Core i3-7350K,60
Intel Core i3-7320,51
Intel Core i3-7300,51
Intel Core i3-7300T,35
Intel Core i3-7100,51
Intel Core i3-7100T,35
Intel Core i3-7101E,54
Intel Core i3-7101TE,35
Intel Core i7-7920HQ,45.0
Intel Core i7-7820HQ,45.0
Intel Core i7-7820HK,45.0
Intel Core i7-7700HQ,45.0
Intel Core i7-7660U,15.0
Intel Core i7-7600U,15.0
Intel Core i7-7567U,28.0
Intel Core i7-7560U,15.0
Intel Core i7-7500U,15.0
Intel Core i7-7Y75,4.5
Intel Core i5-7440HQ,45.0
Intel Core i5-7300HQ,45.0
Intel Core i5-7360U,15.0
Intel Core i5-7300U,15.0
Intel Core i5-7287U,28.0
Intel Core i5-7267U,28.0
Intel Core i5-7260U,15.0
Intel Core i5-7200U,15.0
Intel Core i5-7Y57,4.5
Intel Core i5-7Y54,4.5
Intel Core i3-7100H,35.0
Intel Core i3-7167U,28.0
Intel Core i3-7130U,15.0
Intel Core i3-7100U,15.0
Intel Atom 230,4
Intel Atom 330,8
Intel Atom D410,10
Intel Atom D425,10
Intel Atom D510,13
Intel Atom D525,13
Intel Atom D2500,10
Intel Atom D2550,10
Intel Atom D2560,10
Intel Atom D2700,10
Intel Atom D2701,10
Intel Atom N270,2.5
Intel Atom N280,2.5
Intel Atom N435,5.0
Intel Atom N450,5.5
Intel Atom N455,6.5
Intel Atom N470,6.5
Intel Atom N475,6.5
Intel Atom N550,8.5
Intel Atom N570,8.5
Intel Atom N2600,3.5
Intel Atom N2800,6.5
Intel Atom Z500,0.65
Intel Atom Z510,2
Intel Atom Z510P,2.2
Intel Atom Z510PT,2.2
Intel Atom Z515,1.4
Intel Atom Z520,2
Intel Atom Z520PT,2.2
Intel Atom Z530,2
Intel Atom Z530P,2.2
Intel Atom Z540,2.4
Intel Atom Z550,2.4
Intel Atom Z560,2.5
Intel Atom Z600,1.3
Intel Atom Z605,2.2
Intel Atom Z610,1.3
Intel Atom Z612,1.3
Intel Atom Z615,2.2
Intel Atom Z620,1.3
Intel Atom Z625,2.2
Intel Atom Z2420,3
Intel Atom Z2460,3
Intel Atom Z2480,4
Intel Atom Z2610,3
Intel Atom Z650,3
Intel Atom Z670,3
Intel Atom x5-Z8300,2.17
Intel Atom x5-Z8330,2.17
Intel Atom x5-Z8350,2.17
Intel Atom x5-Z8500,2.17
Intel Atom x5-Z8550,2.17
Intel Atom x7-Z8700,2.17
Intel Atom x7-Z8750,2.17
Intel Atom E620,3.3
Intel Atom E620T,3.3
Intel Atom E640,3.6
Intel Atom E640T,3.6
Intel Atom E660,3.6
Intel Atom E660T,3.6
Intel Atom E680,4.5
Intel Atom E680T,4.5
Intel Atom E625C,2.7
Intel Atom E625CT,2.7
Intel Atom E645C,3.6
Intel Atom E645CT,3.6
Intel Atom E665C,3.6
Intel Atom E665CT,3.6
Intel Atom E3805,3
Intel Atom E3815,5
Intel Atom E3825,6
Intel Atom E3826,7
Intel Atom E3827,8
Intel Atom E3845,10
Intel Atom x5-E8000,5
Intel Atom x5-E3930,6.5
Intel Atom x5-E3940,9.5
Intel Atom x7-E3950,12
Intel Atom x6200FE,4.5
Intel Atom x6211E,6
Intel Atom x6212RE,6
Intel Atom x6413E,9
Intel Atom x6414RE,9
Intel Atom x6425E,12
Intel Atom x6425RE,12
Intel Atom x6427FE,12
Intel Atom S1220,8.1
Intel Atom S1240,6.1
Intel Atom S1260,8.5
Intel Atom S1269,11.7
Intel Atom S1279,13.1
Intel Atom S1289,14.1
Intel Atom C2350,6
Intel Atom C2530,9
Intel Atom C2550,14
Intel Atom C2730,12
Intel Atom C2750,20
Intel Atom C2308,6
Intel Atom C2316,7
Intel Atom C2338,7
Intel Atom C2358,7
Intel Atom C2508,9.5
Intel Atom C2516,10
Intel Atom C2518,13
Intel Atom C2538,15
Intel Atom C2558,15
Intel Atom C2718,18
Intel Atom C2738,20
Intel Atom C2758,20
Intel Atom C3308,9.5
Intel Atom C3336,11
Intel Atom C3338,8.5
Intel Atom C3338R,10.5
Intel Atom C3436L,10.75
Intel Atom C3508,11.5
Intel Atom C3538,15
Intel Atom C3558,16
Intel Atom C3558R,17
Intel Atom C3708,17
Intel Atom C3750,21
Intel Atom C3758,25
Intel Atom C3758R,26
Intel Atom C3808,25
Intel Atom C3830,21
Intel Atom C3850,25
Intel Atom C3858,25
Intel Atom C3950,24
Intel Atom C3955,32
Intel Atom C3958,31
Intel Atom CE4110,7
Intel Atom CE4130,7
Intel Atom CE4150,7
Intel Atom CE4215,7
Intel Atom CE4235,7
Intel Atom CE4253,7
Intel Atom CE4255,7
Intel Atom CE4257,7
Intel Atom CE4270,7
Intel Atom CE4275,7
Intel Atom CE4277,7
Intel Atom CE5315,15
Apple M1, 10
